PROPLU,Clean Brand,PRONAME,Total Cost 6M,Total Qty 6M,Total Revenue 6M,Selling Price,FC Pct 6M
3000515,BBT,1.5 Deal ( Filaaa Wrap N Toast ),3638.3904426351082,6464,9696,1.5,37.52%
2202109,BBT,1.500 deal,0,8,12,1.5,0.00%
7001022,BBT,2 filaaa on toast + 2 Fries buy one get one,16.99420648468971,22,85.79999999999998,3.899999999999999,19.81%
3003088,BBT,2 PCS TENDERS(Dummy),187.1225,19881,15727.199999999999,0.7910668477440772,1.19%
3003040,BBT,2pc Chicken Tenders,17.5725927414,61,67.1,1.0999999999999999,26.19%
40002226,BBT,3.5 KD Deal(2chicken filla 2small fries meal),285.987546909512,332,1162,3.5,24.61%
2202105,BBT,3.5 KD Meal BBT,0,23309,81513.15000000001,3.4970676562701106,0.00%
3000581,BBT,3AMO'S BLIND BOX,3.8999045779802346,8,56,7,6.96%
3000566,BBT,3amo's Burger combo,14518.579710005946,29770,72936.49999999999,2.4499999999999993,19.91%
1208,BBT,7Up Cheeseburger Duo Combo,3447.6004443300008,41867,1048.9,0.02505314448133375,328.69%
2202122,BBT,Add Lettuce,23.331798401500002,458,114.5,0.25,20.38%
3004009,BBT,Add on Ketchup BBT,52.301579620850006,5988,767.46,0.12816633266533067,6.81%
888,BBT,AQUAFINA WATER TENDERS DUO COMBO,45.451202540000004,1309,398.6500000000001,0.3045454545454546,11.40%
1187,BBT,BBT 12 oz 7up,35.219915670000006,341,115.85,0.33973607038123166,30.40%
1186,BBT,BBT 12 oz Diet Pepsi,29.850336749999997,289,93.1,0.3221453287197232,32.06%
1188,BBT,BBT 12 oz Miranda,22.206806110000002,215,58.1,0.2702325581395349,38.22%
1185,BBT,BBT 12 oz Pepsi,55.108520652050004,537,179.9,0.3350093109869646,30.63%
3002028,BBT,BBT 24 oz Shani one stop combo,10.582010469999998,63,28.35,0.45,37.33%
3002043,BBT,BBT 7 Up Bottle 500 ML,39.048529179999996,379,231,0.6094986807387863,16.90%
3003010,BBT,BBT 7UP,810.37479943,4776,2183.0807042253523,0.45709394979592805,37.12%
3002016,BBT,BBT 7up Can,562.87756469,6886,1007.0448028169016,0.14624525164346522,55.89%
3002027,BBT,BBT 7UP one stop combo,27.37885257,163,73.35000000000001,0.45000000000000007,37.33%
