email,name,brand,branch,report,department
bbt-adaliya@swishhh.net,BBT Adaliya,BBT,ADL,Tomorrow's prep list,Branches
farha@swishhh.net,Farha,BBT,ADL,Tomorrow's prep list,Analytics
bbt-ardiya@swishhh.net,BBT Ardiya,BBT,ARD,Tomorrow's prep list,Branches
bbtbayan@swishhh.net,BBT Bayan,BBT,BYN,Tomorrow's prep list,Branches
farha@swishhh.net,Farha,BBT,HWL,Tomorrow's prep list,Analytics
bbtjahra@swishhh.net,BBT Jahra,BBT,JHR,Tomorrow's prep list,Branches
bbt-khairan@swishhh.net,BBT Khairan,BBT,KHR,Tomorrow's prep list,Branches
bbt-mangaf@swishhh.net,BBT Mangaf,BBT,MNF,Tomorrow's prep list,Branches
bbt-umh@swishhh.net,BBT Um Al Hayman,BBT,OMH,Tomorrow's prep list,Branches
bbt-saadabdullah@swishhh.net,BBT Saad Al Abdullah,BBT,SAD,Tomorrow's prep list,Branches
farha@swishhh.net,Farha,BBT,SAL,Tomorrow's prep list,Analytics
bbt-sba@swishhh.net,BBT Sabah Al Ahmed,BBT,SBA,Tomorrow's prep list,Branches
bbt-shuhada@swishhh.net,BBT Shuhada,BBT,SHD,Tomorrow's prep list,Branches
bbtshamiya@swishhh.net,BBT Shamiya,BBT,SMY,Tomorrow's prep list,Branches
bbtyard@swishhh.net,BBT Yard,BBT,YRD,Tomorrow's prep list,Branches
justc-qurtaba@swishhh.net,Just C Qurtaba,BUR,QTB,Tomorrow's prep list,Branches
chilipepper-hawally@swishhh.net,Chili Pepper Hawally,CHP,HWL,Tomorrow's prep list,Branches
chili-qurtaba@swishhh.net,Chili Pepper Qurtaba,CHP,QTB,Tomorrow's prep list,Branches
chili-yard@swishhh.net,Chili Pepper Yard,CHP,YRD,Tomorrow's prep list,Branches
msh-ardiya@swishhh.net,Mishmash Ardiya,MM,ARD,Tomorrow's prep list,Branches
msh-jabriya@swishhh.net,Mishmash Jabriya,MM,JBR,Tomorrow's prep list,Branches
msh-kaifan@swishhh.net,Mishmash Kaifan,MM,KFN,Tomorrow's prep list,Branches
mishmash-khairan@swishhh.net,Mishmash Khairan,MM,KHR,Tomorrow's prep list,Branches
msh-khaitan@swishhh.net,Mishmash Khaitan,MM,KTN,Tomorrow's prep list,Branches
msh-mahboula@swishhh.net,Mishmash Mahboula,MM,MHB,Tomorrow's prep list,Branches
msh-mangaf@swishhh.net,Mishmash Mangaf,MM,MNF,Tomorrow's prep list,Branches
msh-qadsiya@swishhh.net,Mishmash Qadsiya,MM,QDS,Tomorrow's prep list,Branches
msh-qurain@swishhh.net,Mishmash Qurain,MM,QRN,Tomorrow's prep list,Branches
msh-salmiya@swishhh.net,Mishmash Salmiya,MM,SAL,Tomorrow's prep list,Branches
msh-sabahalsalem@swishhh.net,Mishmash Sabah Al Salem,MM,SBS,Tomorrow's prep list,Branches
msh-salwa@swishhh.net,Mishmash Salwa,MM,SLW,Tomorrow's prep list,Branches
msh-westabdallahmubarak@swishhh.net,Mishmash West Abdallah Mubarak,MM,WAM,Tomorrow's prep list,Branches
pattie-adaliya@swishhh.net,Pattie Adailiya,PAT,ADL,Tomorrow's prep list,Branches
pattie-ardiya@swishhh.net,Pattie Ardiya,PAT,ARD,Tomorrow's prep list,Branches
pattie-hawally@swishhh.net,Pattie Hawally,PAT,HWL,Tomorrow's prep list,Branches
pattie-jahra@swishhh.net,Pattie Jahra,PAT,JHR,Tomorrow's prep list,Branches
pattie-mishref@swishhh.net,Pattie Mishref,PAT,MIS,Tomorrow's prep list,Branches
Pattie-yard@swishhh.net,Pattie Yard,PAT,YRD,Tomorrow's prep list,Branches
sliceadeliyah@swishhh.net,Slice Adailiya,SLC,ADL,Tomorrow's prep list,Branches
sliceardiya@swishhh.net,Slice Ardiya,SLC,ARD,Tomorrow's prep list,Branches
slicejahra@swishhh.net,Slice Jahra,SLC,JHR,Tomorrow's prep list,Branches
slicecity@swishhh.net,Slice City,SLC,KWT,Tomorrow's prep list,Branches
slicemishref@swishhh.net,Slice Mishref,SLC,MIS,Tomorrow's prep list,Branches
slice-salmiya@swishhh.net,Slice Salmiya,SLC,SAL,Tomorrow's prep list,Branches
Slice-yard@swishhh.net,Slice Yard,SLC,YRD,Tomorrow's prep list,Branches
Shakir-egaila@swishhh.net,Shakir Egaila,SS,AGL,Tomorrow's prep list,Branches
shakirardiya@swishhh.net,Shakir Ardiya,SS,ARD,Tomorrow's prep list,Branches
shakirbayan@swishhh.net,Shakir Bayan,SS,BYN,Tomorrow's prep list,Branches
shakir-hawally@swishhh.net,Shakir Hawally,SS,HWL,Tomorrow's prep list,Branches
ShakirJahra@swishhh.net,Shakir Jahra,SS,JHR,Tomorrow's prep list,Branches
ShakirCity@swishhh.net,Shakir City,SS,KWT,Tomorrow's prep list,Branches
shakirqurain@swishhh.net,Shakir Qurain,SS,QRN,Tomorrow's prep list,Branches
shakir-alrai@swishhh.net,Shakir Al Rai,SS,RAI,Tomorrow's prep list,Branches
shakirsalmiya@swishhh.net,Shakir Salmiya,SS,SAL,Tomorrow's prep list,Branches
ss.sabahalahmad@swishhh.net,Shakir Sabah Al Ahmed,SS,SBA,Tomorrow's prep list,Branches
tbl-ahmadi@swishhh.net,Tabel Ahmadi,TBL,AHM,Tomorrow's prep list,Branches
tbl-ardiya@swishhh.net,Tabel Ardia,TBL,ARD,Tomorrow's prep list,Branches
tbl-bneid@swishhh.net,Tabel Bneid Al Gar,TBL,BNQ,Tomorrow's prep list,Branches
tbl-hawally@swishhh.net,Tabel Hawally,TBL,HWL,Tomorrow's prep list,Branches
tbl-jahra@swishhh.net,Tabel Jahra,TBL,JHR,Tomorrow's prep list,Branches
